Date,Open,High,Low,Close,Volume,Year
12-05-2010,2126,2155,2086.1,2145.5,621238,2010
13-05-2010,2172.25,2215,2147.5,2203.65,489675,2010
14-05-2010,2210,2223.4,2168,2184.15,257348,2010
17-05-2010,2170,2175,2116.1,2166.95,122489,2010
18-05-2010,2165,2189.75,2146.05,2182.2,144433,2010
19-05-2010,2170,2179.8,2125.15,2141.65,175683,2010
20-05-2010,2174.6,2182.15,2125.85,2136.4,117740,2010
21-05-2010,2096,2133,2093,2098.75,204566,2010
24-05-2010,2140,2145.05,2036.25,2052.45,136809,2010
25-05-2010,2030,2039,1998.7,2018.55,263181,2010
26-05-2010,2048,2104.95,2015.15,2082.75,134044,2010
27-05-2010,2082.75,2142.45,2062.4,2114.8,184276,2010
28-05-2010,2145,2190,2125.2,2163.4,189817,2010
31-05-2010,2165,2226.9,2158,2209.35,147837,2010
01-06-2010,2206.5,2214.75,2153.6,2163.6,134450,2010
02-06-2010,2164.1,2219,2164,2205.35,106858,2010
03-06-2010,2224,2246,2192.35,2198.5,204604,2010
04-06-2010,2198,2229,2182,2185.1,110274,2010
07-06-2010,2168,2198.4,2132.1,2184.3,229905,2010
08-06-2010,2180,2217,2170.65,2194.65,134299,2010
09-06-2010,2202,2215,2186.1,2194.4,92683,2010
10-06-2010,2194.4,2275,2194.4,2242.7,148836,2010
11-06-2010,2299,2303,2250,2294.95,156264,2010
14-06-2010,2299,2315,2271.1,2283.3,553486,2010
